# tau_n,Omegabh2,p_npdg,p_dpHe3g,Yp,DoH,He3oH,Li7oH
8.784797e+02,2.198734e-02,-8.900207e-01,2.061799e+00,2.466735e-01,2.551112e+00,1.072083e+00,5.300681e+00
8.799183e+02,2.239214e-02,-2.762676e+00,9.394204e-01,2.471302e-01,2.500428e+00,1.050616e+00,5.370574e+00
8.792029e+02,2.241308e-02,-4.346995e-01,9.759899e-01,2.470113e-01,2.488813e+00,1.051401e+00,5.461089e+00
8.793632e+02,2.226233e-02,3.693581e-01,3.088512e+00,2.469836e-01,2.472525e+00,1.074993e+00,5.593245e+00
8.787683e+02,2.192789e-02,-4.932218e-01,5.159585e-01,2.467063e-01,2.590997e+00,1.059979e+00,5.156790e+00
8.791993e+02,2.215054e-02,1.935381e+00,4.846435e-01,2.469008e-01,2.545747e+00,1.055345e+00,5.346849e+00
8.801800e+02,2.248494e-02,1.337581e-02,7.040151e-01,2.472410e-01,2.483656e+00,1.048008e+00,5.483494e+00
8.797496e+02,2.188330e-02,1.291029e+00,-1.008966e+00,2.468978e-01,2.624046e+00,1.049011e+00,5.076786e+00
8.804394e+02,2.224787e-02,2.614204e-01,-4.439016e-01,2.471953e-01,2.548206e+00,1.043902e+00,5.275481e+00
8.801064e+02,2.212300e-02,8.264073e-01,-5.061693e-01,2.470688e-01,2.572141e+00,1.047075e+00,5.216728e+00
8.796635e+02,2.242069e-02,2.792416e-01,6.476140e-01,2.471060e-01,2.494196e+00,1.048974e+00,5.456629e+00
8.804464e+02,2.219873e-02,1.368785e+00,-1.741746e-01,2.471813e-01,2.549494e+00,1.048317e+00,5.303219e+00
8.796634e+02,2.236059e-02,5.593935e-02,1.382234e-01,2.470831e-01,2.517583e+00,1.046184e+00,5.369607e+00
8.798968e+02,2.238482e-02,4.961207e-01,1.087455e+00,2.471433e-01,2.490690e+00,1.053845e+00,5.483132e+00
8.792221e+02,2.257543e-02,3.663329e-01,8.631507e-01,2.470815e-01,2.464254e+00,1.047325e+00,5.551932e+00
8.794399e+02,2.226956e-02,-2.882855e-01,-1.617210e-01,2.469956e-01,2.537108e+00,1.045306e+00,5.291856e+00
8.789815e+02,2.235641e-02,4.049823e-01,-6.699951e-01,2.469387e-01,2.531773e+00,1.039305e+00,5.311186e+00
8.799938e+02,2.207724e-02,2.234386e+00,1.135275e+00,2.470383e-01,2.543507e+00,1.063106e+00,5.386926e+00
8.786930e+02,2.247856e-02,-2.703969e-01,7.738912e-01,2.469292e-01,2.478159e+00,1.048194e+00,5.478695e+00
8.798694e+02,2.218592e-02,4.194649e-01,-1.606257e+00,2.470473e-01,2.582888e+00,1.035854e+00,5.150114e+00
8.792856e+02,2.221589e-02,1.257779e+00,-3.131539e-01,2.469416e-01,2.552056e+00,1.046696e+00,5.288190e+00
8.801027e+02,2.229666e-02,1.140253e+00,1.655155e-01,2.471460e-01,2.527304e+00,1.048701e+00,5.371221e+00
8.798505e+02,2.206557e-02,1.171642e-02,7.788297e-01,2.469895e-01,2.559036e+00,1.059188e+00,5.267281e+00
8.804924e+02,2.233432e-02,-2.383389e+00,9.101015e-01,2.472263e-01,2.511747e+00,1.052260e+00,5.346611e+00
8.798385e+02,2.244512e-02,5.167028e-01,2.839060e-01,2.471549e-01,2.492761e+00,1.045148e+00,5.450291e+00
8.784568e+02,2.234394e-02,-2.219474e+00,5.852475e-01,2.468193e-01,2.510952e+00,1.048563e+00,5.331361e+00
8.793598e+02,2.206167e-02,1.469937e+00,6.413680e-02,2.468921e-01,2.570070e+00,1.053754e+00,5.249921e+00
8.786968e+02,2.228143e-02,1.694739e-01,-6.738517e-01,2.468425e-01,2.542635e+00,1.040861e+00,5.265353e+00
8.790890e+02,2.241130e-02,9.996740e-01,-2.612644e-01,2.469871e-01,2.514665e+00,1.041857e+00,5.389032e+00
8.803067e+02,2.201830e-02,-9.021111e-01,1.899119e-02,2.470628e-01,2.583614e+00,1.053089e+00,5.158652e+00
8.797825e+02,2.213879e-02,-1.552507e+00,-3.467925e-02,2.469999e-01,2.564793e+00,1.049344e+00,5.190774e+00
8.789806e+02,2.243148e-02,2.607544e-01,-1.885573e+00,2.469659e-01,2.542237e+00,1.027208e+00,5.240140e+00
8.787918e+02,2.234051e-02,-3.360344e-02,-3.974833e-01,2.468874e-01,2.527017e+00,1.041549e+00,5.312765e+00
